,DISTRCT_CD,DISTRCT_NAME,YR,FDR_MECO,NO_CUSTS_SVD
536,1,Central,2004,05_01_HT28,1.0
537,1,Central,2004,05_01_HT29,0.0
538,1,Central,2004,05_01_HT3,7.916666666666667
539,1,Central,2004,05_01_HT31,0.8333333333333334
540,1,Central,2004,05_01_HT32,72.16666666666667
541,1,Central,2004,05_01_HT36,0.0
542,1,Central,2004,05_01_HT37,1.0
543,1,Central,2004,05_01_HT38,0.9166666666666666
544,1,Central,2004,05_01_HT39,16.0
545,1,Central,2004,05_01_HT4,14.166666666666666
546,1,Central,2004,05_01_HT40,0.0
547,1,Central,2004,05_01_HT41,161.66666666666666
548,1,Central,2004,05_01_HT42,534.8333333333334
549,1,Central,2004,05_01_HT43,0.0
550,1,Central,2004,05_01_HT44,0.0
551,1,Central,2004,05_01_HT45,5.916666666666667
552,1,Central,2004,05_01_HT46,4.916666666666667
553,1,Central,2004,05_01_HT47,3.5
554,1,Central,2004,05_01_HT48,1.9166666666666667
555,1,Central,2004,05_01_HT49,0.0
556,1,Central,2004,05_01_HT5,0.0
557,1,Central,2004,05_01_HT50,0.0
558,1,Central,2004,05_01_HT51,0.0
559,1,Central,2004,05_01_HT52,30.833333333333332
560,1,Central,2004,05_01_HT53,0.0
561,1,Central,2004,05_01_HT55,531.8333333333334
562,1,Central,2004,05_01_HT56,6.25
563,1,Central,2004,05_01_HT57,18.833333333333332
564,1,Central,2004,05_01_HT58,0.0
565,1,Central,2004,05_01_HT59,333.3333333333333
566,1,Central,2004,05_01_HT6,0.5833333333333334
